"Latest: Time (s)","Latest: Temperature (°C)"
0,20.4656926714
0.5,20.3613963509
1,20.2482231327
1.5,20.1188000411
2,19.9686743083
2.5,19.8552620156
3,19.7314570314
3.5,19.6282190965
4,19.5308234994
4.5,19.4924401396
5,19.4953930171
5.5,19.4318946484
6,19.3506403503
6.5,19.2796945841
7,19.2013225175
7.5,19.1317906581
8,19.0651889849
8.5,19.0104064159
9,18.9556045361
9.5,18.9319004017
10,18.9111562843
10.5,18.8800348371
11,18.8429772084
11.5,18.7984960926
12,18.7451014048
12.5,18.7020751508
13,18.6501303057
13.5,18.6026218612
14,18.5640099047
14.5,18.5283590134
15,18.4852691456
15.5,18.4451394054
16,18.4020245652
16.5,18.3663334472
17,18.3395592105
17.5,18.2934361088
18,18.2666479991
18.5,18.223478569
19,18.1907204027
19.5,18.1579544787
20,18.1192210603
20.5,18.0953796716
21,18.0625909639
21.5,18.0253214697
22,17.9910244699
22.5,17.9716353492
23,17.9418004673
23.5,17.903005174
24,17.8791255336
24.5,17.844791022
25,17.903005174
25.5,17.9059898278
26,17.8821107232
26.5,17.8343396197
27,17.7940193062
27.5,17.7417337951
28,17.7043741771
28.5,17.6565381698
29,17.6206495325
29.5,17.5817588593
30,17.5383668396
30.5,17.5084326858
31,17.4620207587
31.5,17.4215835361
32,17.3976145857
32.5,17.3571565503
33,17.3331752115
33.5,17.3001932951
34,17.2687023409
34.5,17.2312025979
35,17.2131986468
35.5,17.1801845113
36,17.1456601603
36.5,17.1276435557
37,17.0885983678
37.5,17.0390227749
38,17.0044579565
38.5,16.9728900261
39,16.9518400818
39.5,16.9277784249
40,16.894685646
40.5,16.8721170576
41,16.846534081
41.5,16.8224508803
42,16.7908341401
42.5,16.7637272408
43,16.7441460978
43.5,16.7110012286
44,16.6883969942
44.5,16.6688030652
45,16.6492057912
45.5,16.6220655663
46,16.5888854165
46.5,16.5722917146
47,16.5572044269
47.5,16.5194774145
48,16.4968351579
48.5,16.4651283467
49,16.4560676137
49.5,16.4319020766
50,16.4047096031
50.5,16.3835553164
51,16.3684426487
51.5,16.3457697894
52,16.3215802901
52.5,16.3019224225
53,16.2928483788
53.5,16.2943607713
54,16.295873143
54.5,16.295873143
55,16.3215802901
55.5,16.3079713701
56,16.2837735874
56.5,16.2520059184
57,16.2172021941
57.5,16.2005530173
58,16.2247691628
58.5,16.2686472716
59,16.2686472716
59.5,16.2610833329
60,16.2504929429
60.5,16.3246042669
61,16.3880887162
61.5,16.4001768798
62,16.4424751408
62.5,16.4892867279
63,16.5209867367
63.5,16.560222045
64,16.5979355064
64.5,16.6446828675
65,16.6718177333
65.5,16.7019600671
66,16.6311130237
66.5,16.5164587095
67,16.4152852409
67.5,16.3215802901
68,16.2504929429
68.5,16.1763314939
69,16.0990893082
69.5,16.0293724364
70,15.9762965927
70.5,15.908017318
71,15.909535113
71.5,15.8928381688
72,15.8609548474
72.5,15.8093137319
73,15.7576471316
73.5,15.7424461992
74,15.7409259838
74.5,15.7196406322
75,15.7242021463
75.5,15.7272430444
76,15.7819640106
76.5,15.8153904769
77,15.7713260738
77.5,15.7044341359
78,15.6740144408
78.5,15.6907463803
79,15.7226816639
79.5,15.7926008636
80,15.8639917699
80.5,15.9414037847
81,16.0415003606
81.5,16.1036344928
82,16.076360511
82.5,16.0263402408
83,15.9853971832
83.5,15.9611272135
84,15.883729632
84.5,15.788042345
85,15.6953091666
85.5,15.6344554313
86,15.5522456924
86.5,15.4882589745
87,15.4211819118
87.5,15.3525341156
88,15.2960550652
88.5,15.2807849573
89,15.3021624518
89.5,15.412031583
90,15.4974024017
90.5,15.5217808483
91,15.523304307
91.5,15.5370144094
92,15.4913068752
92.5,15.4288065506
93,15.3616898712
93.5,15.309796158
94,15.2532928426
94.5,15.2105121499
95,15.2166248117
95.5,15.2105121499
96,15.2105121499
96.5,15.2914742791
97,15.277730654
97.5,15.248710082
98,15.2807849573
98.5,15.2624577277
99,15.2105121499
99.5,15.1615971943
100,15.1417185363
100.5,15.1248949832
101,15.1356012151
101.5,15.1264245166
102,15.1356012151
102.5,15.1417185363
103,15.1172469573
103.5,15.1218358446
104,15.1631261551
104.5,15.1371305812
105,15.1371305812
105.5,15.1585392014
106,15.16924176
106.5,15.1875862917
107,15.2089839252
107.5,15.2685671804
108,15.2823120737
108.5,15.2609303057
109,15.1921718902
109.5,15.1004191933
110,15.0162367312
110.5,14.9610958588
111,14.9181866862
111.5,14.8583883179
112,14.8875255261
112.5,14.9227850143
113,14.892125326
113.5,14.8215706942
114,14.7755285975
114.5,14.7417501593
115,14.6910598073
115.5,14.6311177241
116,14.6019012425
116.5,14.5634445337
117,14.5388238799
117.5,14.5342067791
118,14.5357458383
118.5,14.500340996
119,14.5234326481
119.5,14.5388238799
120,14.6526398102
