"Latest: Time (s)","Latest: Temperature (°C)"
0,21.7103877936
0.5,21.668029938
1,21.6008273157
1.5,21.5072983348
2,21.3947244653
2.5,21.3376866053
3,21.2689305284
3.5,21.182591167
4,21.0786482868
4.5,20.9834472592
5,20.8969984707
5.5,20.8134473947
6,20.7371967812
6.5,20.6829246794
7,20.6403771685
7.5,20.6022236449
8,20.5655308416
8.5,20.5405759448
9,20.5126815243
9.5,20.4451315627
10,20.4275060569
10.5,20.4186927143
11,20.4172237856
11.5,20.4186927143
12,20.4201616321
12.5,20.4172237856
13,20.4128169337
13.5,20.3731508177
14,20.3393548144
14.5,20.2776251667
15,20.2673349683
15.5,20.2717451209
16,20.2879148137
16.5,20.2952642245
17,20.312901667
17.5,20.3217197843
18,20.3320070801
18.5,20.3393548144
19,20.3422938303
19.5,20.3467022707
20,20.3540494494
20.5,20.3613963509
21,20.362865698
21.5,20.364335034
22,20.3716815481
22.5,20.386373748
23,20.3995957859
23.5,20.4084099832
24,20.4113479612
24.5,20.4172237856
25,20.4275060569
25.5,20.4304437503
26,20.4319125807
26.5,20.4319125807
27,20.4319125807
27.5,20.4333814001
28,20.4348502086
28.5,20.4407253334
29,20.446600284
29.5,20.4539437272
30,20.4730354089
30.5,20.5009353464
31,20.5302995028
31.5,20.5669986809
32,20.6036912196
32.5,20.6315731391
33,20.6609184401
33.5,20.6799906492
34,20.7107959005
34.5,20.7298635373
35,20.7342635144
35.5,20.7342635144
36,20.7327968656
36.5,20.7327968656
37,20.7181298128
37.5,20.7093290871
38,20.6550497141
38.5,20.5699343277
39,20.4436628305
39.5,20.3819662039
40,20.3246590674
40.5,20.2467529123
41,20.1644024061
41.5,20.0496396671
42,19.9701467264
42.5,19.8920920396
43,19.8287396836
43.5,19.7801050865
44,19.7491487978
44.5,19.694593412
45,19.5751011437
45.5,19.4939165849
46,19.4304176541
46.5,19.3905338267
47,19.334384671
47.5,19.3136932854
48,19.2900427684
48.5,19.2427313798
49,19.188010254
49.5,19.1229120595
50,19.028175843
50.5,18.8963373379
51,18.7792168682
51.5,18.7287825635
52,18.6812993998
52.5,18.6516146975
53,18.6456770408
53.5,18.6026218612
54,18.5328158535
54.5,18.4852691456
55,18.4644625315
55.5,18.4258136725
56,18.393102626
56.5,18.3737698367
57,18.3782314832
57.5,18.3916155818
58,18.4198667675
58.5,18.4733800204
59,18.5283590134
59.5,18.5922273381
60,18.8029447938
60.5,18.9793050272
61,19.0977533205
61.5,19.1184725733
62,19.0785115743
62.5,19.0266951349
63,18.9704177691
63.5,18.8963373379
64,18.7643850122
64.5,18.6738787829
65,18.5877723164
65.5,18.5328158535
66,18.4629762296
66.5,18.3812058363
67,18.3425343761
67.5,18.297900296
68,18.2755779385
68.5,18.3826929895
69,18.6130156467
69.5,18.7436179475
70,18.7525184709
70.5,18.6768470743
71,18.6501303057
71.5,18.6931716138
72,18.7451014048
72.5,18.7836661393
73,18.801461908
73.5,18.804427665
74,18.7836661393
74.5,18.7525184709
75,18.7228479969
75.5,18.6516146975
76,18.5372725567
76.5,18.4079722141
77,18.3157556262
77.5,18.2249673929
78,18.1356096086
78.5,18.0342670824
79,17.9119589349
79.5,17.8209008865
80,17.7701199492
80.5,17.7013849439
81,17.6430811026
81.5,17.6131714727
82,17.5967182072
82.5,17.5368702994
83,17.5144200815
83.5,17.5069357927
84,17.5174136733
84.5,17.526394025
85,17.5323805733
85.5,17.5159168862
86,17.478491459
86.5,17.4215835361
87,17.379634857
87.5,17.3496628792
88,17.3406698774
88.5,17.3256800928
89,17.2806998433
89.5,17.2552037523
90,17.2282021232
90.5,17.2131986468
91,17.2026951178
91.5,17.1876885086
92,17.1336493883
92.5,17.1126276697
93,17.10812254
93.5,17.121637425
94,17.1381535673
94.5,17.1666761505
95,17.1936913738
95.5,17.2192002581
96,17.2312025979
96.5,17.2582035668
97,17.282199449
97.5,17.2851986056
98,17.2777005773
98.5,17.2747012382
99,17.2762009169
99.5,17.2986939081
100,17.3241810146
100.5,17.3391709804
101,17.3481640908
101.5,17.3496628792
102,17.3526604019
102.5,17.3811332667
103,17.4006109556
103.5,17.4185876682
104,17.4185876682
104.5,17.4170897074
105,17.3661483598
105.5,17.2762009169
106,17.1951920439
106.5,17.1486626673
107,17.1141293422
107.5,17.0705732462
108,17.0224930218
108.5,16.9894266525
109,16.9683796379
109.5,16.9593583477
110,16.9322903582
110.5,16.8886677791
111,16.8630884088
111.5,16.8390086133
112,16.8028796236
112.5,16.7516776982
113,16.7245616425
113.5,16.7230550085
114,16.7411333205
114.5,16.7516776982
115,16.7516776982
115.5,16.745652457
116,16.7411333205
116.5,16.745652457
117,16.745652457
117.5,16.7351075305
118,16.7320945178
118.5,16.7275748515
119,16.7094944176
119.5,16.6989461889
120,16.6567436007
